id,name,product_code,price,base_price,category,image_path,in_stock,featured,source
131,"Blankets 250 230 200pcs",PROD-0131,0,,Accessories,/images/BLANKETS_250_230_200pcs_.webp,true,false,filename
132,"Blanket 720 82796 7",PROD-0132,0,,Accessories,/images/BLANKET_720_82796-7.webp,true,false,filename
133,"Blanket 8592 480",PROD-0133,0,,Accessories,/images/BLANKET_8592_480_.webp,true,false,filename
134,"Blanket And Neck Pillow 21016 3 1100",PROD-0134,0,,Accessories,/images/BLANKET_AND_NECK_PILLOW_21016-3_1100.webp,true,false,filename
135,"Blanket Bl200 980",PROD-0135,0,,Accessories,/images/BLANKET_BL200_980.webp,true,false,filename
136,"Blanket Blk 1 680",PROD-0136,0,,Accessories,/images/BLANKET_BLK-1_680.webp,true,false,filename
137,"Blanket Blk 6 680",PROD-0137,0,,Accessories,/images/BLANKET_BLK-6_680.webp,true,false,filename
138,"Blanket Blk 8 680",PROD-0138,0,,Accessories,/images/BLANKET_BLK-8_680.webp,true,false,filename
139,"Blanket Czl 256 680",PROD-0139,0,,Accessories,/images/BLANKET_CZL-256_680.webp,true,false,filename
140,"Blanket Czl 257 680",PROD-0140,0,,Accessories,/images/BLANKET_CZL-257_680.webp,true,false,filename
141,"Blanket With Pillow Kis 72625 1100",PROD-0141,0,,Accessories,/images/BLANKET_with_PILLOW_KIS-72625_1100.webp,true,false,filename
142,"Bottle 1.5oz Bbid 9 150",PROD-0142,0,,Accessories,/images/BOTTLE_1.5oz_BBID-9_150.webp,true,false,filename
143,"Bottle 10oz 310 Bbid 17",PROD-0143,0,,Accessories,/images/BOTTLE_10oz_310_BBID-17.webp,true,false,filename
144,"Bottle 10oz 360",PROD-0144,0,,Accessories,/images/BOTTLE_10oz_360_.webp,true,false,filename
145,"Bottle 10oz 395 Bip1552",PROD-0145,0,,Accessories,/images/BOTTLE_10oz_395_BIP1552.webp,true,false,filename
146,"Bottle 10oz Bbid 118 330",PROD-0146,0,,Accessories,/images/BOTTLE_10oz_BBID-118_330.webp,true,false,filename
147,"Bottle 10oz Bbid 121 390",PROD-0147,0,,Accessories,/images/BOTTLE_10oz_BBID-121_390.webp,true,false,filename
148,"Bottle 10oz Bbid 48",PROD-0148,0,,Accessories,/images/BOTTLE_10oz_BBID-48.webp,true,false,filename
